Material_Type,Strength_PSI,Weight_Capacity_KG,Biodegradability_%,CO2_Emission_Score_%,Recyclability_%,Cost_per_KG_USD
Kraft Paper,4876.69,,93.5,26.08,79.42,0.89
PLA Bioplastic,7099.04,13.17,72.55,64.25,61.57,1.83
Recycled Paperboard,4302.61,27.88,79.28,26.63,83.58,0.89
Recycled Paperboard,3524.85,32.4,,28.59,92.05,1.25
Recycled PET (rPET),10780.79,11.7,19.69,51.0,73.55,1.75
PHA Bioplastic,,1.61,91.46,42.83,60.1,3.43
Aluminum Packaging,17359.14,44.09,1.79,72.36,,3.99
Molded Pulp,3166.58,3.96,95.29,34.72,92.47,0.87
Recycled PET (rPET),8991.55,13.23,9.72,68.27,,2.35
Recycled Paperboard,5479.12,4.25,84.71,31.13,94.88,0.8
Starch-Based Packaging,1928.69,6.81,94.33,31.64,82.46,2.08
Bagasse Fiber,2772.25,5.8,94.81,25.87,82.88,1.6
Hemp Fiber,7323.64,22.83,97.27,,80.42,2.2
Hemp Fiber,6691.22,28.34,87.41,25.51,,1.83
Molded Pulp,3371.74,7.64,90.61,33.35,91.63,1.01
PHA Bioplastic,5394.59,,98.67,47.73,52.38,3.09
Bagasse Fiber,2518.74,20.88,91.07,31.86,81.92,1.7
Cotton Fiber,3092.22,18.21,87.26,43.31,64.32,1.48
Plywood (Lightweight),12802.7,62.11,53.44,58.78,61.9,2.7
Mushroom Mycelium,2663.31,13.97,,11.82,76.91,1.65
Aluminum Packaging,10530.94,28.11,,79.12,98.26,4.89
Molded Pulp,3213.65,8.13,85.93,24.03,90.2,1.33
PLA Bioplastic,6229.01,9.55,62.82,45.56,73.44,1.76
Plywood (Lightweight),9523.58,62.03,74.07,57.87,69.9,2.51
Cotton Fiber,5948.94,19.3,92.47,40.67,67.48,1.67
Bamboo Fiber,6634.3,12.42,96.01,30.86,78.0,1.33
Molded Pulp,,13.36,93.77,34.3,,1.31
Hemp Fiber,6394.13,16.89,85.35,33.47,77.04,2.3
Bagasse Fiber,3338.92,20.32,95.7,18.65,82.51,1.15
Recycled PET (rPET),7707.45,,11.64,48.85,74.61,2.65
Kraft Paper,7624.31,20.68,82.27,49.52,88.45,0.64
Aluminum Packaging,17045.55,15.1,3.07,82.87,99.63,3.48
Corrugated Cardboard,4949.77,22.03,74.64,49.69,87.96,1.19
Bamboo Fiber,4406.58,29.07,99.56,37.8,76.68,1.89
Recycled PET (rPET),,,18.09,59.66,93.89,1.94
Starch-Based Packaging,,2.21,90.01,15.84,84.19,1.04
Aluminum Packaging,13955.23,36.04,1.91,68.38,94.71,4.34
Mushroom Mycelium,1182.98,,95.52,29.73,75.73,2.46
Recycled PET (rPET),10356.12,,,61.1,88.89,2.3
Aluminum Packaging,15631.39,,3.22,63.68,94.95,2.61
Kraft Paper,6511.64,9.15,77.0,42.46,78.63,0.73
Bamboo Fiber,3253.86,28.21,90.13,25.07,89.1,1.3
Cotton Fiber,3723.53,4.8,81.06,38.54,64.09,1.98
Recycled PET (rPET),9797.69,18.85,15.5,51.41,92.1,1.4
Recycled Paperboard,5199.05,7.56,89.72,44.46,88.71,0.74
Hemp Fiber,5839.46,29.15,85.16,27.58,86.62,2.48
Bamboo Fiber,5321.81,17.43,88.58,36.47,83.93,1.13
Mushroom Mycelium,1376.04,7.23,95.03,14.45,66.84,2.75
Corrugated Cardboard,4657.43,35.75,80.56,48.6,82.2,1.09
Aluminum Packaging,10178.47,6.15,3.53,66.12,85.94,3.78
Kraft Paper,4574.65,11.02,93.87,29.98,80.47,0.78
PHA Bioplastic,8195.78,9.14,88.71,42.29,56.8,2.87
Molded Pulp,1800.38,8.33,94.72,26.48,94.66,1.44
Hemp Fiber,4178.48,32.95,90.56,33.13,70.8,1.93
Plywood (Lightweight),8857.93,40.04,66.18,53.78,50.16,3.95
Hemp Fiber,7522.75,14.04,,16.87,86.47,2.34
Recycled Paperboard,5231.43,11.59,83.3,39.29,80.8,0.83
Recycled PET (rPET),8193.47,25.94,12.7,70.76,75.98,2.36
Recycled Paperboard,3806.72,12.9,87.05,33.62,,0.82
PHA Bioplastic,8310.96,11.85,84.81,50.75,,3.89
PLA Bioplastic,6578.72,5.12,,69.5,59.94,1.83
Plywood (Lightweight),13296.24,39.92,54.76,46.07,70.8,2.0
Plywood (Lightweight),8519.36,20.99,63.99,41.31,71.36,2.66
Plywood (Lightweight),10822.36,57.92,51.49,48.94,53.92,4.32
Plywood (Lightweight),9875.07,13.02,,57.55,63.68,4.2
Kraft Paper,5854.9,13.54,83.17,,76.93,0.52
Molded Pulp,3184.09,17.28,98.76,37.13,91.86,1.22
Starch-Based Packaging,3536.72,8.29,94.14,29.56,69.93,1.97
PHA Bioplastic,6703.11,3.61,83.85,53.49,57.04,2.73
Plywood (Lightweight),12621.11,17.04,55.04,48.54,56.83,2.66
Bagasse Fiber,2795.03,5.49,95.33,29.58,87.63,0.88
Kraft Paper,7583.45,6.59,91.52,27.69,88.15,0.84
Molded Pulp,3184.19,11.33,91.01,23.08,97.13,0.82
PLA Bioplastic,7699.57,11.44,60.0,62.1,53.26,2.44
Recycled Paperboard,6146.73,33.77,72.79,37.94,88.77,1.03
Starch-Based Packaging,3766.27,6.75,99.06,29.77,75.93,1.93
Bamboo Fiber,6145.74,13.34,98.73,29.49,76.56,1.16
Corrugated Cardboard,3318.92,35.81,,35.44,82.3,1.12
Cotton Fiber,3343.23,17.93,88.13,35.47,65.83,1.64
Starch-Based Packaging,3113.95,6.57,95.19,26.3,71.17,2.3
Hemp Fiber,5559.3,8.43,93.04,30.72,87.41,
PLA Bioplastic,8339.35,2.92,84.18,45.18,65.68,2.27
Corrugated Cardboard,6824.63,39.56,85.81,51.43,94.82,0.92
Recycled PET (rPET),7500.01,3.01,17.32,70.88,80.48,2.08
Recycled Paperboard,7297.0,27.74,71.44,46.64,81.0,0.69
Cotton Fiber,5856.04,11.51,81.69,41.95,66.95,2.2
Starch-Based Packaging,,,97.65,30.16,65.63,1.33
PLA Bioplastic,6282.31,4.19,65.53,55.43,71.55,
Starch-Based Packaging,2309.15,10.99,92.03,27.04,69.97,1.64
Recycled Paperboard,4791.26,24.99,88.34,38.59,88.63,1.37
PLA Bioplastic,8987.89,13.22,64.28,60.42,69.86,3.01
Starch-Based Packaging,3746.81,2.95,96.61,,77.81,2.38
Kraft Paper,7112.55,23.12,89.14,28.11,88.85,0.46
Plywood (Lightweight),12348.21,40.74,58.03,59.74,50.13,3.69
Recycled PET (rPET),10187.6,29.54,19.67,73.55,74.01,1.33
Corrugated Cardboard,6821.5,15.07,87.09,35.82,87.69,1.03
Starch-Based Packaging,3277.8,4.78,94.45,29.62,84.39,1.08
Kraft Paper,7315.9,15.46,91.37,42.24,77.13,0.61
Cotton Fiber,3156.72,3.39,87.45,34.01,78.6,1.97
Starch-Based Packaging,2134.79,6.57,94.4,18.16,67.89,1.13
Bamboo Fiber,6312.71,3.0,99.57,23.95,,1.51
Recycled PET (rPET),7791.65,18.13,19.14,49.97,89.03,1.69
Recycled PET (rPET),10872.38,24.18,7.11,47.73,84.62,2.03
Kraft Paper,5324.76,,87.3,40.57,80.67,0.71
Cotton Fiber,3952.2,7.25,93.65,31.04,68.56,2.82
PLA Bioplastic,6830.08,5.74,73.92,56.62,56.73,1.88
Aluminum Packaging,11956.74,12.63,3.16,80.21,88.31,3.17
Bagasse Fiber,4427.68,23.4,90.35,16.73,93.72,0.88
PHA Bioplastic,8333.7,10.42,99.5,42.36,45.19,3.34
Bagasse Fiber,3630.95,10.15,98.53,34.94,91.89,1.25
Hemp Fiber,6902.57,13.47,96.05,16.79,82.85,2.46
Hemp Fiber,5115.52,14.69,,30.02,88.79,1.33
Recycled Paperboard,3820.55,14.54,79.0,,87.22,1.17
Bamboo Fiber,4029.57,22.29,96.58,36.39,83.46,1.44
Plywood (Lightweight),11664.45,57.32,,50.09,53.88,2.75
Mushroom Mycelium,2936.35,13.42,97.3,27.72,76.47,1.54
Starch-Based Packaging,3294.45,2.12,91.65,16.68,66.74,1.85
Plywood (Lightweight),11367.03,10.96,62.61,45.4,57.27,3.62
Recycled PET (rPET),9027.73,17.64,15.48,45.49,70.82,1.31
Hemp Fiber,4352.76,33.8,87.36,34.11,88.48,2.02
Starch-Based Packaging,3738.32,10.41,96.42,25.61,66.63,2.44
Mushroom Mycelium,1321.39,8.11,95.64,20.05,74.48,2.78
Recycled PET (rPET),11319.44,4.47,8.14,67.19,71.25,2.04
Kraft Paper,,17.29,85.33,30.38,84.84,0.89
Bagasse Fiber,2355.01,24.5,94.3,15.4,87.86,1.78
PLA Bioplastic,9125.59,1.24,62.29,46.77,50.32,1.7
Mushroom Mycelium,2939.98,6.61,99.32,23.42,70.0,2.65
Mushroom Mycelium,3098.15,3.88,99.71,,74.73,1.75
Starch-Based Packaging,2098.97,9.76,91.0,17.48,,1.35
Mushroom Mycelium,1166.11,10.63,99.62,27.7,83.91,2.41
Aluminum Packaging,,15.78,4.93,63.22,92.34,4.37
PLA Bioplastic,8654.05,5.47,64.19,43.6,62.01,
Aluminum Packaging,17990.08,43.9,2.3,69.62,88.63,4.72
Molded Pulp,2702.16,13.17,87.55,24.56,86.29,1.38
PHA Bioplastic,8798.09,7.55,83.47,61.72,63.02,2.78
Kraft Paper,5016.43,13.36,93.41,47.49,79.57,0.78
Mushroom Mycelium,1239.37,2.72,98.5,,60.54,2.52
Hemp Fiber,7019.05,17.9,89.76,32.61,,1.31
Bamboo Fiber,5936.9,18.8,87.43,29.68,82.59,0.96
Molded Pulp,1876.82,3.24,,28.15,85.96,1.14
Molded Pulp,3053.02,14.82,85.9,,92.52,1.48
Mushroom Mycelium,1333.49,3.63,99.82,17.61,82.31,1.57
Cotton Fiber,,5.79,83.48,35.11,73.17,2.95
Starch-Based Packaging,3231.83,1.56,98.62,19.35,82.67,1.35
PLA Bioplastic,7295.05,14.32,72.09,52.85,74.68,2.97
Mushroom Mycelium,2116.19,8.37,99.19,15.14,67.37,2.87
Mushroom Mycelium,3040.68,4.2,95.61,20.9,76.25,2.74
Recycled Paperboard,7400.84,20.11,73.68,25.68,85.33,0.91
Corrugated Cardboard,5641.91,37.52,77.35,43.19,87.56,0.51
Molded Pulp,2311.8,19.5,85.72,25.57,94.26,0.88
Hemp Fiber,4804.55,11.52,99.62,22.21,72.42,2.21
Mushroom Mycelium,3476.97,14.52,95.23,15.23,76.07,1.99
Hemp Fiber,6500.54,33.34,95.48,21.55,88.08,1.59
Recycled Paperboard,3701.97,16.03,83.1,36.26,89.03,1.16
Plywood (Lightweight),11680.39,68.77,60.04,63.07,55.49,2.39
PHA Bioplastic,7092.53,9.35,82.27,56.6,48.22,2.94
Plywood (Lightweight),8328.91,36.57,55.62,48.41,71.39,3.33
Mushroom Mycelium,1663.26,2.9,97.92,25.03,67.79,1.67
Plywood (Lightweight),13221.25,40.73,70.1,50.96,58.61,2.26
Mushroom Mycelium,2891.39,,98.42,16.62,82.79,1.99
Hemp Fiber,6002.78,4.9,,31.47,73.49,2.35
Recycled Paperboard,5750.68,25.06,77.23,49.8,,1.3
Kraft Paper,5932.81,24.63,78.16,28.43,89.03,0.68
Plywood (Lightweight),10765.35,18.82,57.34,55.03,59.27,3.14
Recycled PET (rPET),7856.83,23.43,10.38,68.04,85.66,1.45
Aluminum Packaging,17895.31,41.55,,61.45,98.81,3.08
Aluminum Packaging,12935.16,15.66,2.82,64.62,86.81,4.41
Starch-Based Packaging,3799.71,10.24,95.79,33.16,79.01,1.37
Bagasse Fiber,3666.67,17.45,90.61,29.94,94.3,1.67
Aluminum Packaging,10532.75,46.59,0.88,,89.79,4.51
Plywood (Lightweight),10403.37,17.68,51.96,58.23,68.57,4.45
PHA Bioplastic,7542.11,9.41,84.88,39.54,57.35,3.47
Recycled PET (rPET),11637.34,21.8,11.03,74.44,72.74,2.0
Recycled Paperboard,5565.32,26.24,,39.08,89.9,1.19
Cotton Fiber,4961.95,18.37,83.13,41.36,66.27,2.48
PHA Bioplastic,8393.57,1.02,85.3,,55.67,3.38
PLA Bioplastic,9426.74,8.37,66.84,68.4,53.64,2.38
PHA Bioplastic,8159.28,7.63,84.58,37.51,64.56,3.73
Corrugated Cardboard,6244.87,19.31,75.45,34.67,91.21,0.85
Hemp Fiber,5171.53,33.23,90.0,24.1,74.99,1.36
Corrugated Cardboard,3804.66,25.23,72.7,39.08,,0.95
Starch-Based Packaging,3429.61,10.03,90.3,24.2,83.4,1.26
Mushroom Mycelium,1155.87,3.22,98.39,11.37,73.02,2.44
Mushroom Mycelium,3217.87,1.08,99.49,17.41,61.33,2.85
Starch-Based Packaging,2425.88,4.76,90.98,33.95,80.31,1.39
Bagasse Fiber,4956.79,5.36,90.98,,85.41,1.75
Kraft Paper,6395.95,,92.32,35.5,75.69,0.76
Bagasse Fiber,4883.91,22.53,97.56,27.8,80.06,0.78
Bamboo Fiber,5193.43,6.63,88.65,33.32,82.29,1.84
Corrugated Cardboard,5822.78,37.05,82.46,30.5,88.15,0.79
Recycled Paperboard,7381.92,28.81,73.48,37.6,88.33,1.34
Corrugated Cardboard,5933.63,38.15,70.75,39.62,87.97,0.52
Recycled Paperboard,4101.62,16.88,71.07,41.13,81.75,0.97
Corrugated Cardboard,5624.16,27.77,85.04,52.36,88.46,1.02
Aluminum Packaging,16138.97,24.52,2.81,78.29,90.81,3.45
Bamboo Fiber,4862.77,5.67,98.13,26.17,76.8,1.96
PLA Bioplastic,8015.48,4.06,74.79,,52.07,2.94
Recycled PET (rPET),8607.51,28.25,15.4,65.22,84.18,2.6
Bagasse Fiber,2337.18,17.11,96.33,31.77,88.91,1.28
Corrugated Cardboard,5864.69,10.57,83.87,44.1,86.38,0.95
Molded Pulp,2218.57,12.35,95.46,32.21,97.7,0.9
Cotton Fiber,5388.47,19.14,90.31,41.82,73.13,1.36
Aluminum Packaging,19039.93,36.49,4.81,85.49,87.0,3.51
Plywood (Lightweight),10011.23,74.23,57.13,58.57,63.82,3.16
Recycled PET (rPET),8702.5,21.94,18.34,71.51,70.61,1.41
Recycled Paperboard,4924.23,24.16,84.18,25.97,84.08,
Bagasse Fiber,2536.78,22.15,90.69,20.55,81.39,1.24
Plywood (Lightweight),11097.72,15.41,54.9,52.43,60.36,4.48
Bamboo Fiber,5552.06,26.13,98.46,20.36,77.61,1.92
Bagasse Fiber,3693.35,16.59,91.08,29.47,88.21,1.6
Aluminum Packaging,18231.51,13.43,3.51,70.92,90.66,3.44
Hemp Fiber,6629.81,8.93,95.61,22.78,72.0,1.0
Bagasse Fiber,4076.02,23.16,,29.4,82.43,0.7
Bagasse Fiber,2281.38,3.07,93.5,23.85,85.66,
Kraft Paper,6152.88,6.34,80.38,28.55,85.34,0.95
Corrugated Cardboard,5756.79,30.79,84.56,45.01,93.34,0.95
Bamboo Fiber,,29.39,92.58,39.25,80.33,1.73
Kraft Paper,7105.97,7.8,92.42,41.84,85.06,0.89
Hemp Fiber,6807.19,10.04,,20.86,78.36,1.4
Bagasse Fiber,3854.54,18.83,96.71,23.36,90.52,
Plywood (Lightweight),12931.68,15.35,68.52,63.65,61.49,3.5
Starch-Based Packaging,3070.25,11.4,97.36,25.02,,1.23
Bamboo Fiber,3727.86,13.17,96.3,28.13,78.5,1.62
Kraft Paper,4169.3,13.34,86.16,48.74,83.49,0.86
Kraft Paper,4959.01,14.12,,31.01,83.91,0.44
PHA Bioplastic,7082.8,5.98,90.36,58.3,61.38,2.95
Mushroom Mycelium,3298.54,3.3,98.52,29.21,68.25,2.82
Aluminum Packaging,12507.46,9.06,1.79,74.45,97.59,3.6
Cotton Fiber,5661.36,16.38,84.69,36.27,75.33,2.72
Bagasse Fiber,3443.75,18.66,98.69,30.68,87.92,1.31
Recycled Paperboard,5053.47,24.12,86.06,47.4,92.68,0.96
Bagasse Fiber,2324.49,22.34,94.28,26.27,88.06,1.4
Bagasse Fiber,3558.87,23.07,98.28,27.21,82.98,1.11
PLA Bioplastic,6836.62,10.43,83.03,57.08,52.47,2.32
Bamboo Fiber,5225.95,,85.33,23.08,75.82,1.54
Kraft Paper,5339.21,16.94,79.01,31.05,78.12,0.5
Bagasse Fiber,3039.47,5.91,96.55,15.47,93.49,1.72
Corrugated Cardboard,6978.62,11.79,87.0,44.27,87.52,1.16
Cotton Fiber,4059.78,2.76,92.32,55.45,62.84,2.79
Hemp Fiber,5331.94,22.0,91.3,19.49,71.78,1.37
Bamboo Fiber,,5.3,86.46,35.52,83.3,
Cotton Fiber,4367.64,2.96,90.63,46.06,60.74,2.77
Recycled PET (rPET),9838.82,13.21,10.56,57.5,79.42,
Kraft Paper,7837.3,7.85,89.14,29.92,87.06,0.88
Bagasse Fiber,2728.07,16.74,91.35,30.44,83.59,
Mushroom Mycelium,3015.73,14.25,95.56,28.64,70.07,2.88
Kraft Paper,4156.89,3.87,92.53,29.29,83.23,0.52
Plywood (Lightweight),13755.22,,50.47,45.89,56.97,2.86
Recycled PET (rPET),7494.79,7.26,14.04,63.26,84.17,2.39
PHA Bioplastic,7443.93,7.25,86.6,55.32,66.64,2.35
Recycled PET (rPET),11130.62,3.94,18.82,55.75,70.25,2.62
Bamboo Fiber,3687.96,18.4,98.84,31.23,80.6,1.85
Kraft Paper,4919.57,19.08,,37.93,82.24,0.77
Mushroom Mycelium,3352.04,2.88,97.14,28.11,72.59,2.0
Recycled Paperboard,6761.81,5.49,70.59,47.34,,0.78
PHA Bioplastic,5154.86,11.09,93.45,57.23,61.63,3.37
PHA Bioplastic,7863.64,9.09,80.43,41.68,67.72,2.47
Recycled Paperboard,4724.91,20.54,77.79,32.0,83.81,1.32
Hemp Fiber,7142.05,21.0,86.47,23.53,80.65,1.67
Kraft Paper,7540.17,7.75,86.87,34.15,81.4,0.73
Cotton Fiber,4064.13,2.27,83.46,37.54,60.41,2.99
Hemp Fiber,,25.76,86.76,31.01,79.85,1.39
Aluminum Packaging,11875.19,38.95,2.75,89.33,97.66,4.39
Aluminum Packaging,13852.62,47.19,3.49,87.86,88.31,2.55
Mushroom Mycelium,2846.37,,99.19,11.98,60.22,2.41
Starch-Based Packaging,2956.49,,,28.43,66.58,2.36
Recycled PET (rPET),,12.92,13.37,69.3,83.83,1.93
PLA Bioplastic,7177.55,7.47,79.62,43.32,50.86,2.47
Recycled Paperboard,6639.12,27.51,82.92,43.22,81.21,0.83
PLA Bioplastic,7145.31,12.22,66.16,58.77,,1.91
PLA Bioplastic,8993.16,8.73,79.73,68.32,70.63,1.72
Bagasse Fiber,4494.11,20.48,94.0,27.72,86.88,1.24
Starch-Based Packaging,3276.65,5.82,90.82,17.49,74.38,1.28
Corrugated Cardboard,5487.63,19.65,72.77,,83.03,0.62
Cotton Fiber,4911.55,10.38,88.29,49.85,66.14,2.03
PLA Bioplastic,7355.2,,76.79,53.01,69.14,3.3
PHA Bioplastic,5104.74,3.71,83.04,56.29,65.71,2.95
Starch-Based Packaging,3646.21,3.85,90.1,20.14,81.92,1.03
PHA Bioplastic,6685.3,8.64,96.66,61.63,69.12,3.9
Molded Pulp,2964.95,7.52,85.27,24.6,96.5,0.93
Recycled Paperboard,6851.31,34.6,,41.2,88.12,0.92
Starch-Based Packaging,3978.48,9.11,94.71,32.35,80.66,1.34
PHA Bioplastic,7615.14,3.49,94.24,53.13,62.18,3.51
Mushroom Mycelium,3407.13,9.65,95.4,25.77,77.24,1.7
Cotton Fiber,4443.8,2.44,94.72,,73.24,2.93
PLA Bioplastic,9214.54,9.69,72.39,42.21,66.22,3.48
PHA Bioplastic,7602.56,3.62,86.98,62.73,66.91,2.16
Hemp Fiber,5079.79,3.57,93.81,28.87,84.08,2.37
Recycled Paperboard,3577.56,17.4,89.12,29.59,89.73,1.39
Recycled Paperboard,3723.96,17.38,89.28,46.41,82.31,0.89
Hemp Fiber,6784.72,32.41,87.53,31.64,82.75,2.48
Hemp Fiber,7740.16,10.2,98.25,29.13,72.47,1.53
Aluminum Packaging,10175.38,15.25,4.46,66.34,96.45,4.21
Recycled Paperboard,7461.37,9.05,73.02,33.93,86.66,0.85
Bamboo Fiber,4418.68,16.49,90.67,21.06,83.47,1.73
Plywood (Lightweight),11520.53,20.96,67.52,40.78,65.38,2.11
Plywood (Lightweight),9266.82,31.73,69.57,40.77,63.01,
Starch-Based Packaging,1816.96,6.95,92.15,29.28,71.32,1.5
Plywood (Lightweight),10309.65,70.64,60.09,54.9,55.37,3.81
Molded Pulp,3241.76,15.52,89.33,32.04,95.57,1.48
Cotton Fiber,3743.8,19.1,91.84,39.03,63.14,2.58
Starch-Based Packaging,3614.6,5.54,91.61,,84.24,1.02
Hemp Fiber,7790.55,29.24,93.34,23.51,70.54,1.57
Recycled Paperboard,7153.08,21.83,74.33,39.46,89.95,1.4
Corrugated Cardboard,5396.47,34.99,79.36,52.37,80.73,0.64
Starch-Based Packaging,2836.88,7.26,91.54,17.77,75.61,2.27
Recycled PET (rPET),11892.25,5.57,15.09,52.32,75.41,1.62
Kraft Paper,5703.31,,91.31,35.0,81.53,0.43
Bamboo Fiber,4994.7,27.62,94.17,38.75,82.14,1.06
Recycled Paperboard,6592.58,27.22,86.69,34.34,90.17,1.3
Starch-Based Packaging,2899.12,6.55,97.41,19.98,66.32,1.72
Hemp Fiber,5759.84,33.44,90.34,21.26,89.7,1.27
Plywood (Lightweight),8010.59,44.68,52.14,47.97,71.41,3.56
Starch-Based Packaging,2762.19,4.79,94.18,,68.29,1.19
PHA Bioplastic,6507.48,4.36,85.15,39.03,55.92,3.68
Bamboo Fiber,5474.2,18.86,,33.37,75.25,
Kraft Paper,5427.43,16.75,90.17,42.36,85.44,0.8
Bamboo Fiber,3049.97,9.38,87.38,34.52,75.88,0.87
Mushroom Mycelium,1342.46,14.09,99.56,28.32,63.36,
Mushroom Mycelium,,4.93,99.45,22.1,84.84,2.47
Corrugated Cardboard,4345.16,19.1,,45.0,94.37,0.96
Cotton Fiber,3187.29,2.7,93.72,33.17,72.56,2.36
Bagasse Fiber,4405.24,23.56,93.68,26.74,83.75,1.01
Aluminum Packaging,15008.15,15.06,4.11,75.14,94.43,2.82
Aluminum Packaging,10353.12,25.95,2.75,66.56,85.76,4.69
PLA Bioplastic,7629.49,9.64,66.86,67.66,58.84,1.69
PLA Bioplastic,7503.58,11.41,61.53,67.77,56.34,1.81
Bagasse Fiber,2957.92,20.75,91.01,27.89,94.4,1.48
Bamboo Fiber,3294.54,19.27,89.63,27.05,75.55,1.69
Molded Pulp,2933.19,6.84,87.28,25.69,93.99,1.27
Kraft Paper,4304.84,8.85,76.03,31.06,85.67,0.91
Recycled PET (rPET),10586.89,26.8,14.5,70.11,87.42,2.57
Recycled PET (rPET),8660.17,14.66,11.53,55.54,82.32,1.45
Cotton Fiber,3577.7,,85.95,39.39,63.71,1.33
Bagasse Fiber,4797.44,3.94,,30.99,88.36,1.33
Corrugated Cardboard,5785.48,,73.57,42.3,,0.63
PHA Bioplastic,5494.66,1.67,92.91,63.39,65.61,3.94
Plywood (Lightweight),10006.4,25.27,60.93,51.08,69.77,3.8
Recycled Paperboard,4269.43,,71.27,44.21,84.31,0.69
Recycled Paperboard,5643.29,20.14,78.86,25.49,93.12,0.79
Kraft Paper,7504.04,11.84,79.73,28.07,76.17,0.68
Molded Pulp,1549.17,,95.72,32.24,95.85,0.94
Hemp Fiber,4246.7,6.06,93.39,25.52,85.69,1.27
PLA Bioplastic,6304.92,3.87,81.97,,62.89,2.45
PHA Bioplastic,5408.11,10.73,92.67,36.78,61.83,3.6
Recycled PET (rPET),10613.57,15.14,12.18,69.07,73.57,2.4
Bamboo Fiber,4588.19,22.4,99.11,27.47,84.3,1.14
Hemp Fiber,6029.85,14.23,92.91,22.53,70.97,1.23
Hemp Fiber,5147.11,24.53,88.36,27.27,78.22,2.24
Molded Pulp,1655.63,10.96,99.11,36.7,89.32,0.78
Mushroom Mycelium,2300.46,14.11,99.32,20.91,65.71,1.58
Corrugated Cardboard,6446.32,13.99,70.89,48.85,93.72,0.97
Starch-Based Packaging,,6.67,98.77,16.22,84.91,1.21
PHA Bioplastic,5107.49,1.96,,46.2,55.51,3.45
Mushroom Mycelium,3153.17,5.5,99.2,27.99,68.39,2.86
Starch-Based Packaging,3179.2,8.38,93.98,26.61,82.44,1.49
Plywood (Lightweight),11183.72,32.46,53.35,46.92,69.85,4.36
Recycled PET (rPET),10699.62,26.79,,46.06,75.77,2.17
PLA Bioplastic,6174.52,13.6,77.66,46.01,67.46,2.76
PLA Bioplastic,7424.73,,69.51,53.38,61.12,3.07
Corrugated Cardboard,5293.51,26.54,81.9,42.06,83.12,0.98
Cotton Fiber,3364.0,17.45,,34.87,60.05,1.61
Mushroom Mycelium,1858.74,13.44,97.3,16.89,66.36,1.76
Plywood (Lightweight),8413.23,37.56,50.27,59.77,56.36,2.78
Cotton Fiber,4228.78,8.28,88.44,,62.9,1.6
PLA Bioplastic,9896.1,10.77,75.94,69.56,55.75,3.23
PLA Bioplastic,6658.24,5.69,75.91,69.72,56.67,2.29
Bamboo Fiber,4543.76,16.94,97.6,30.46,84.92,1.17
Bamboo Fiber,4591.01,20.03,86.44,30.11,79.04,1.64
Plywood (Lightweight),13511.31,31.69,55.2,49.57,,2.56
Recycled Paperboard,7420.55,17.31,88.55,26.55,85.97,1.37
Cotton Fiber,5644.22,17.67,86.0,47.8,62.03,2.94
Recycled Paperboard,6298.17,10.85,78.6,31.99,84.29,0.68
Cotton Fiber,3990.36,2.27,89.82,51.93,72.26,2.75
Cotton Fiber,3320.58,5.95,85.14,55.86,74.01,
Bamboo Fiber,4936.2,24.44,96.68,25.07,88.81,1.2
Cotton Fiber,3197.44,14.6,80.17,45.83,,2.71
Bamboo Fiber,5772.63,26.55,90.42,36.09,80.14,1.38
Bamboo Fiber,5836.11,13.87,97.26,22.66,85.29,1.29
Bagasse Fiber,3169.09,17.22,,21.86,85.09,0.92
Corrugated Cardboard,,35.15,87.22,44.51,82.33,1.11
PLA Bioplastic,8672.33,1.09,65.99,66.22,57.67,
Kraft Paper,7636.28,13.86,,,84.0,0.9
Mushroom Mycelium,1434.58,1.41,97.36,11.26,61.0,2.15
Corrugated Cardboard,4031.06,39.55,74.65,50.46,84.95,0.98
Kraft Paper,4662.71,5.17,85.95,27.0,85.65,0.85
Cotton Fiber,4662.17,7.93,86.36,36.36,79.96,1.35
Corrugated Cardboard,6716.96,29.63,72.19,44.02,82.46,
Recycled Paperboard,6137.83,32.62,71.62,39.37,93.39,0.61
Cotton Fiber,4527.52,5.95,82.28,49.43,,1.83
Bagasse Fiber,2021.05,22.57,98.35,28.51,81.8,
Molded Pulp,1977.79,17.8,92.26,22.68,95.78,0.86
PLA Bioplastic,9166.78,1.23,79.55,44.67,52.89,3.17
PLA Bioplastic,9733.74,2.99,82.79,50.19,69.1,2.08
Recycled PET (rPET),8889.77,20.76,10.5,62.82,79.85,1.23
Corrugated Cardboard,5184.43,17.03,82.61,30.39,81.61,1.05
Plywood (Lightweight),11024.2,61.81,62.88,53.43,58.74,2.51
Corrugated Cardboard,5352.11,28.91,,38.15,89.23,0.54
Bamboo Fiber,5878.81,14.77,92.54,22.02,85.78,1.05
Recycled Paperboard,3890.58,24.22,74.93,33.72,80.16,1.0
Bamboo Fiber,3812.24,19.82,87.29,36.32,79.33,1.83
Aluminum Packaging,15636.59,7.19,2.51,,94.67,4.3
Hemp Fiber,7532.06,4.03,94.4,33.57,80.91,
PHA Bioplastic,8069.33,4.56,93.89,38.24,,3.48
Molded Pulp,3761.97,12.98,85.98,,86.77,
Starch-Based Packaging,2851.65,11.1,90.28,19.45,70.16,1.26
Starch-Based Packaging,,9.53,96.49,16.62,65.24,1.08
Recycled Paperboard,7141.93,24.98,70.49,40.46,93.05,0.94
Kraft Paper,5716.23,17.68,91.84,,77.47,0.53
