Material_Type,Strength_PSI,Weight_Capacity_KG,Biodegradability_%,CO2_Emission_Score_%,Recyclability_%,Cost_per_KG_USD,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score,Predicted_Cost,Predicted_CO2,Cost_Score,CO2_Score,AI_Recommendation_Score
Bamboo Fiber,5180.7,9.2,95.19,32.79,87.48,1.03,0.7620360616006059,0.2964622141153656,0.6596042474586769,1.1339181306686585,28.717863,0.8466347034280134,0.78559494,0.8161148218067802
Molded Pulp,3262.01,13.06,86.3,38.84,85.2,1.049795918367347,0.7017373390557939,0.2614871581534294,0.5847269927814658,1.1521265856631566,28.440771,0.8423207909670716,0.78931826,0.8158195272489014
Bagasse Fiber,2410.49,17.8,94.96,28.57,87.23,0.94,0.798574625094673,0.294178303469158,0.6318781815929374,1.176080694068219,28.044437,0.8366456292484867,0.7946439,0.8156447540926272
Kraft Paper,5112.14,22.84,85.97050847457626,35.82,84.48,0.7,0.7262625195657662,0.3572791050726324,0.6226126529445446,0.7109455335942719,36.276478,0.9468445651492565,0.6840281,0.8154363270978674
Bamboo Fiber,6406.28,11.91,94.93,22.25,81.75736842105263,1.15,0.8380012140740641,0.3621703173721283,0.7064641731175421,1.3657604444599778,24.738388,0.7917070642219319,0.83906806,0.8153875596874125
Bagasse Fiber,2795.03,5.49,95.33,29.58,87.63,0.88,0.7908501110830597,0.2364765634102589,0.6355279390281406,1.1473179808023177,28.64808,0.8434600364678669,0.7865326,0.8149963086601877
Bagasse Fiber,4076.02,23.16,94.95833333333331,29.4,82.43,0.7,0.7768406185306741,0.353809022159143,0.6448320484761637,1.150520220789828,28.693413,0.8427013678719196,0.7859235,0.8143124244297342
Bamboo Fiber,4046.97,21.93,96.54,23.11,83.72,1.16,0.8362900176723049,0.3627899372330957,0.6739503449892594,1.2782620140165846,26.450632,0.8124370256336312,0.8160602,0.8142486055330327
Bamboo Fiber,4588.19,22.4,99.11,27.47,84.3,1.14,0.7995043928300933,0.3653256315109073,0.6720964447223158,1.23370298910077,27.251324,0.8229938649091124,0.80530113,0.8141474973635375
Kraft Paper,7315.9,15.46,91.37,42.24,77.13,0.61,0.6474844206008583,0.3486045440763523,0.628417118790816,0.5775145534592521,38.939247,0.9784567787090601,0.64824784,0.8133523083646924
Recycled Paperboard,7420.55,17.31,88.55,26.55,85.97,1.37,0.8126436531178994,0.3998463140636329,0.7014825481550037,1.194151756952656,28.072144,0.8323642674644587,0.7942716,0.8133179278949796
Bagasse Fiber,4494.11,20.48,94.0,27.72,86.88,1.24,0.8050353547084069,0.3529227809784993,0.6646267363117299,1.187503554850747,28.1958,0.8339393468382414,0.79261,0.8132746682406692
Bagasse Fiber,2728.07,16.74,91.35,30.44,83.59,1.2606666666666666,0.7711310199444583,0.2905609353484137,0.6151891781260093,1.2239454398232195,27.56796,0.8253056048908626,0.80104643,0.8131760179777341
Molded Pulp,3496.51,10.66,91.54980769230768,24.89,92.19,0.82,0.8459716662458975,0.2892351313894211,0.6656642462618122,1.0923706128338682,29.897903,0.8564780621843089,0.76973844,0.8131082489647741
Bagasse Fiber,4227.52,10.31,93.32,28.66,90.16,0.84,0.8065693713708659,0.292964327389498,0.6621518522772857,1.1290124786211349,29.266582,0.847796941163354,0.7782216,0.813009274185803
Mushroom Mycelium,2877.92,8.38,95.13,10.11,67.63,1.69,0.90289,0.3021415499212223,0.6701379330073922,2.0680683998588747,12.761811,0.6253176016821747,1.0,0.8126588008410873
Starch-Based Packaging,2836.88,7.26,91.54,17.77,75.61,2.27,0.8591450719515273,0.2762209243953634,0.6492689227009115,1.546988621668638,22.041145,0.7487708298093776,0.8753115,0.8120411618414869
Mushroom Mycelium,1262.95,9.91,99.07,13.13,78.67,1.99,0.909324819490028,0.2691284318240189,0.6637499329477932,2.0052856383340805,13.979626,0.6401919739095816,0.98363596,0.8119139679595058
Bagasse Fiber,2957.92,20.75,91.01,27.89,94.4,1.48,0.8260932087856602,0.3222707418340071,0.6493318357565918,1.2456369979004025,27.421988,0.8201664822846515,0.8030079,0.8115871914997629
Kraft Paper,6541.88,8.34,86.14,36.16,84.97,0.69,0.7247282277202727,0.3115538649644299,0.6447063925461175,0.7713306485850595,35.789497,0.9325382387699521,0.6905718,0.8115550118715483
Recycled Paperboard,7400.84,20.11,73.68,25.68,85.33,0.91,0.8184111057813683,0.4159814717291776,0.6734202809428522,1.108183823544194,29.88736,0.8527316264350162,0.7698801,0.8113058712104433
Bagasse Fiber,2772.25,5.8,94.81,25.87,82.88,1.6,0.8093822368088865,0.2469623169882932,0.6386847641132697,1.367627058269118,25.357681,0.7912648296351178,0.8307464,0.8110056209561698
Bamboo Fiber,6398.67,11.77,98.79,28.5,86.04,1.0,0.7956231557687452,0.3455176900218488,0.6989722441555306,1.1891196770365506,28.505205,0.8335564582495145,0.78845245,0.8110044523551192
Recycled Paperboard,3524.85,32.4,78.55098360655738,28.59,92.05,1.25,0.8128579020449381,0.391850082706094,0.625783662943787,1.1213785488466146,29.811066,0.84960555725902,0.7709053,0.8102554365675135
Bamboo Fiber,3098.37,26.67,85.35,25.0,82.02,1.65,0.8144896894723553,0.3627844100513099,0.626350822572233,1.4257937945558663,24.475801,0.7774840773112361,0.8425965,0.810040274310449
Kraft Paper,7577.54,21.52,76.45,37.12,89.44,0.41,0.7296555213329967,0.3979587176396063,0.6465905989271441,0.8899752892063054,34.026917,0.9044291765922652,0.7142559,0.8093425527927451
Bagasse Fiber,3340.4,9.55,97.01,28.09,80.7,0.91,0.783225978288311,0.2722580322505444,0.6390896127407983,1.2642558654427447,27.434454,0.8157553356649188,0.80284035,0.8092978438616647
Recycled Paperboard,4267.88,4.74,76.37,29.99,93.37,1.25,0.8044472885634941,0.2619021325840928,0.630220698699519,1.080284522903557,30.731403,0.8593414755804585,0.7585385,0.8089399800769114
Hemp Fiber,4246.7,6.06,93.39,25.52,85.69,1.27,0.8209048901792475,0.2795136927852402,0.6655389045474656,1.3728266602896309,25.579823,0.7900329498323005,0.8277615,0.8088972105519077
Bagasse Fiber,3854.54,18.83,96.71,23.36,90.52,1.2606666666666666,0.8544809795506185,0.3423185212145265,0.6839746527311332,1.224150738996304,28.222214,0.8252569658019746,0.79225504,0.808756004892717
Molded Pulp,2786.8,14.36,91.86,29.6116,95.89,1.15,0.8153508886644786,0.2816680327646544,0.6448536349340108,1.1244323860963794,30.02891,0.8488820479569166,0.7679781,0.8084300600616797
Starch-Based Packaging,3092.78,4.55,98.13,18.3,73.7,1.71,0.8487319111335521,0.2662646479944756,0.6605850924455965,1.7214154715440264,19.505247,0.707445952908639,0.90938693,0.8084164428792615
Hemp Fiber,4916.1,8.65,89.58,19.37,82.66,1.92,0.8661572279727341,0.3220809616367696,0.685469419658579,1.6577068875166114,20.697239,0.7225396692392047,0.89336985,0.8079547613678781
Molded Pulp,1549.17,11.30653846153846,95.72,32.24,95.85,0.94,0.7920059454683159,0.233926216490461,0.6234510505062917,1.0173489038444605,32.013767,0.8742520625236211,0.74130714,0.8077796009601443
Starch-Based Packaging,3277.8,4.78,94.45,29.62,84.39,1.08,0.78077666498359,0.242670944007472,0.6345840192056944,1.2595291335345202,27.764116,0.8168751839817903,0.79841065,0.8076429190248917
Hemp Fiber,5331.94,22.0,91.3,19.49,71.78,1.37,0.8324568896743246,0.3987250229018022,0.6731154933427106,1.5577708979387117,22.516783,0.7462163134611841,0.8689202,0.8075682602424024
Molded Pulp,2218.57,12.35,95.46,32.21,97.7,0.9,0.7978210300429183,0.2531200010859735,0.6370734185526296,1.022868169929152,31.950438,0.872944448519841,0.74215806,0.807551251912661
Starch-Based Packaging,3179.2,8.38,93.98,26.61,82.44,1.49,0.8015234839686948,0.2666840310001135,0.6396201504523593,1.352594501261051,26.148571,0.7948263143968131,0.8201191,0.8074726986622585
Bagasse Fiber,2021.05,22.57,98.35,28.51,81.8,1.2606666666666666,0.7828147942438777,0.3107537959758276,0.6220235183032261,1.2759198964712377,27.514572,0.8129919156595513,0.80176383,0.8073778741143368
Recycled Paperboard,5479.12,4.25,84.71,31.13,94.88,0.8,0.7989040747286039,0.2814342544377158,0.6643122968992292,1.0379552132017615,31.718327,0.8693700549761744,0.745277,0.8073235212644085
Hemp Fiber,6029.85,14.23,92.91,22.53,70.97,1.23,0.8031649861146175,0.3656038830622448,0.6739760580738068,1.5226773566236662,23.187193,0.7545306083985248,0.8599118,0.807221203914686
Molded Pulp,2523.9,16.77,85.48,30.55,92.48,1.049795918367347,0.7968290431709164,0.2862362590799168,0.6176491955729633,1.1366448142832821,30.026167,0.8459887027417539,0.76801497,0.8070018350916563
Bamboo Fiber,3687.96,18.4,98.84,31.23,80.6,1.85,0.7551804594799292,0.3168196635611248,0.6360258122755549,1.398821528350983,25.417358,0.7838742952246311,0.82994455,0.8069094231078447
Molded Pulp,3234.93,6.59,89.23,33.76,91.23,1.17,0.7647149936884625,0.2406095581801952,0.6214731478879792,1.0917180591570674,30.847113,0.8566326639579703,0.75698376,0.8068082104885066
Kraft Paper,6465.6,20.06,93.86,35.57,83.3225396825397,0.96,0.7249991767350716,0.3715149629507779,0.6579257025348374,0.8293710645436861,35.510563,0.9187874140175047,0.69431984,0.8065536291317077
Hemp Fiber,5559.3,8.43,93.04,30.72,87.41,1.7308620689655172,0.7801168972481696,0.3055329292945406,0.66884051751431,1.542373569627125,22.992865,0.7498642191450346,0.862523,0.8061936192294235
Bamboo Fiber,3096.76,5.26,90.37,22.91,80.25,1.97,0.8276472481696541,0.2583453537029794,0.6407517032662122,1.5632881382468553,22.681932,0.7449091794005237,0.86670107,0.8058051229472558
Molded Pulp,3467.36,10.4,96.73,30.24,96.94,1.42,0.8129482504418075,0.2737967327714028,0.6648261986241614,1.1401993607128214,30.174307,0.8451465663748837,0.76602435,0.8055854587474394
Recycled Paperboard,4302.61,27.88,79.28,26.63,83.58,0.89,0.8047667609189598,0.3896444667709465,0.6297270767046613,1.0749843072746277,31.379894,0.8605971925676618,0.7498246,0.8052108880490438
Starch-Based Packaging,2762.19,4.79,94.18,25.11618181818182,68.29,1.19,0.7722730892107135,0.2434842597747173,0.6109427944373877,1.4416331602024817,24.916609,0.7737314449842763,0.83667326,0.8052023523596918
Kraft Paper,5324.76,13.45934426229508,87.3,40.57,80.67,0.71,0.6728607952537238,0.3016050559142943,0.602947564805301,0.657096979545923,38.7674,0.9596022619655468,0.65055704,0.8050796515668799
Bamboo Fiber,6312.71,3.0,99.57,23.95,81.75736842105263,1.51,0.8229797548465964,0.3103078417644795,0.7078727703852581,1.4999917408227676,23.951376,0.7599052412664539,0.8496433,0.8047742656546655
Molded Pulp,3785.69,5.62,93.9,31.52,91.54,0.99,0.785437975258773,0.2526269411827388,0.6484247703686816,1.095838625175058,31.109943,0.855656427308759,0.753452,0.8045542151554629
Starch-Based Packaging,3070.25,11.4,97.36,25.02,75.05851851851851,1.23,0.793428521978176,0.2839279091004948,0.6359646600297164,1.4885417413773556,24.195425,0.7626179533169967,0.84636396,0.8044909575068107
Hemp Fiber,6629.81,8.93,95.61,22.78,72.0,1.0,0.804045947992931,0.3501648537922945,0.6897530968589463,1.5636549459583702,22.884005,0.7448222760164666,0.8639858,0.8044040264588559
Molded Pulp,2690.74,4.82,93.77,30.48,87.37,1.13,0.7821175738449886,0.2286263379362603,0.6268670018077257,1.1046626461601248,30.998621,0.8535658570712187,0.7549479,0.8042568789216566
Molded Pulp,2721.83,16.56,86.46,29.65,92.99,1.06,0.8063115804089875,0.2915048663452046,0.6270937892726829,1.1425334993628156,30.340416,0.8445935666936467,0.7637923,0.8041929215380466
Bagasse Fiber,4525.92,13.15,95.92,27.86,86.92,1.35,0.8039182933602625,0.3156725742141243,0.6685116474465105,1.2627952843192967,28.234339,0.8161013737615371,0.79209214,0.8040967591254127
Bagasse Fiber,2337.18,17.11,96.33,31.77,88.91,1.28,0.7753389371370865,0.2810563966523666,0.6247318198576638,1.2295246717777284,28.846512,0.8239837838874708,0.7838662,0.8039250052802985
Bamboo Fiber,3069.44,21.59,87.01,24.45,81.75736842105263,1.59,0.8185616786032235,0.3375531433086209,0.630785611687834,1.4095791693024828,25.711071,0.7813256154291714,0.8259978,0.8036617224332137
Molded Pulp,3382.09,10.22,90.15,32.25,95.26,0.9,0.7901475839434486,0.2660457539546745,0.6393642138243444,1.060446953961928,31.874935,0.8640413546134652,0.74317265,0.8036070000911564
Bamboo Fiber,4543.76,16.94,97.6,30.46,84.92,1.17,0.7749442968947234,0.3288916045445901,0.6583046333169033,1.2198916688680472,29.064297,0.8262660165810695,0.7809398,0.8036029170048291
Hemp Fiber,5381.92,17.804,99.06,16.48,73.62,2.12,0.8645737086594294,0.385856516481151,0.7045024489105614,1.8939691564966556,17.214552,0.6665648626720699,0.94016755,0.8033662044721739
Corrugated Cardboard,3110.2,22.37,79.82,32.63,85.82,1.02,0.7584698459984851,0.3217363032086048,0.5941669701204804,0.9313841307045985,34.20389,0.8946186727693638,0.71187794,0.8032483074273149
Molded Pulp,2731.42,7.7,90.31,33.22,85.79,0.8,0.7531665160313052,0.2372999541920487,0.6070309360294368,1.0871739038063515,31.482454,0.8577092565847382,0.74844646,0.8030778605616562
Kraft Paper,7636.28,13.86,85.97050847457626,35.313870967741934,84.0,0.9,0.7292947528727676,0.3644852298481629,0.6625186560053274,0.8563779075030428,35.565807,0.9123890042453263,0.6935775,0.8029832661226022
Corrugated Cardboard,6855.37,39.69,89.6,32.0,84.89,0.93,0.761246622065135,0.4891106124030995,0.6720649911481841,1.002555465560185,33.08341,0.8777568957329183,0.7269341,0.802345485544224
Bagasse Fiber,4797.44,3.94,94.95833333333331,30.99,88.36,1.33,0.7805811360767483,0.2661744892381315,0.6618028814679947,1.1525845105199102,30.462137,0.8422123002825889,0.7621567,0.8021845126061993
Bamboo Fiber,5552.06,26.13,98.46,20.36,77.61,1.92,0.8422594370108558,0.422215212149502,0.6992132531758031,1.6270221198494759,22.102324,0.7298094459248355,0.8744894,0.8021494362688448
Bagasse Fiber,3993.1,18.64,91.38,15.04,89.32,0.88,0.9243977682403433,0.3652007339046627,0.7045481914041041,1.1928353662307982,29.783298,0.8326761442458884,0.7712784,0.8019772627967723
Molded Pulp,3761.97,12.98,85.98,29.6116,86.77,1.049795918367347,0.7879908886644786,0.2946618118096373,0.6298882730708388,1.1267767907435733,30.960112,0.848326616075185,0.7554653,0.8018959723842874
Hemp Fiber,6229.51,4.52,98.46,28.79,81.87,1.7308620689655172,0.780550671547589,0.3041638077263563,0.6862630469547226,1.6182837259249092,22.368433,0.7318797295623654,0.8709136,0.8013966771629271
Molded Pulp,3294.23,6.22,98.44,24.18,87.68,0.74,0.838715334511487,0.2641199347022911,0.6700071921925452,1.171294280789943,30.272125,0.8377796171618276,0.76470995,0.801244783327618
Bagasse Fiber,2562.5,14.41,96.27,30.05,87.23,1.61,0.7854971194142892,0.2762025710607947,0.6312420472735758,1.2654937304556888,28.639576,0.8154620630448135,0.7866469,0.8010544828030006
Bagasse Fiber,2515.32,15.21,99.59,31.94,89.61,0.92,0.7759367912143398,0.2745587133653118,0.634764053796276,1.108487838568511,31.457521,0.8526595997747581,0.74878156,0.8007205808131298
Starch-Based Packaging,2899.12,6.55,97.41,19.98,66.32,1.72,0.8117471749558192,0.2682847753087182,0.635033161062223,1.7307786649540433,20.493603,0.7052276429675767,0.8961062,0.8006669132482385
Molded Pulp,1876.82,3.24,91.54980769230768,28.15,85.96,1.14,0.7984758091391062,0.2096685851076005,0.6158658741961812,1.1928184182666746,30.021133,0.8326801595252541,0.76808256,0.8003813593169942
Molded Pulp,3053.02,14.82,85.9,29.6116,92.52,1.48,0.8052408886644786,0.2895018833030082,0.6302884783659064,1.1683518268201132,30.454716,0.8384767377494904,0.76225644,0.8003665906250046
Kraft Paper,6914.05,4.13,90.01,41.96,83.81,0.63,0.6699985432971471,0.2830006164819073,0.6339136215395267,0.6553438563274797,39.551586,0.9600176085778702,0.6400197,0.8000186617050881
Molded Pulp,3371.74,7.64,90.61,33.35,91.63,1.01,0.7695378162080282,0.2498385202218581,0.6286999041033479,1.0781236326120147,32.150723,0.8598534295907372,0.7394668,0.7996601079876599
Bagasse Fiber,4485.32,13.4,98.15,29.34,87.01,1.54,0.7911107876798789,0.3123815646847966,0.6669254257775725,1.2403605613671123,29.311052,0.8214165655738271,0.77762413,0.7995203479114252
Starch-Based Packaging,3908.72,10.68,95.92,23.41,84.43,2.2,0.8357691719262812,0.3015549574720504,0.6708596038332588,1.4806659712081593,25.077492,0.7644838657781404,0.8345114,0.7994976325236223
Bamboo Fiber,5863.22,23.41,94.33,30.03,84.93,0.86,0.7787738424640243,0.3902696616189247,0.6737660436843597,1.1744045142834247,30.524904,0.8370427465691264,0.7613133,0.7991780328876821
Molded Pulp,1746.19,5.18,89.54,31.97,87.23,0.79,0.7685317066397375,0.2072754581236675,0.597900071720829,1.0793663445673598,32.272976,0.8595590086422743,0.7378241,0.7986915455084236
Molded Pulp,2746.49,16.28,99.2,32.61,91.99,0.64,0.7771565690482201,0.2831049422442139,0.6397730794422292,1.059502151295003,32.692425,0.8642651954609841,0.7321878,0.7982265015104756
Molded Pulp,3896.17,15.63,99.08,26.34,92.14764705882354,1.049795918367347,0.8330321863165867,0.3192582344833773,0.6813325189928112,1.0893326340571625,32.234997,0.8571978143271934,0.7383344,0.7977661158351665
Bamboo Fiber,4199.67,29.92,96.71,21.42,75.46,1.54,0.8264431153749052,0.4111306109654119,0.6665268914211644,1.6168668610543526,22.942865,0.7322154104876504,0.8631949,0.7977051466786854
Bagasse Fiber,3626.36,3.18,94.64,30.33,87.46,1.18,0.7837129967180004,0.2398531280046028,0.6437942591619719,1.206527784913186,30.293049,0.8294321625026689,0.7644288,0.7969304784433358
Hemp Fiber,6785.12,4.44,87.66,20.44,83.2,1.48,0.8583225448119162,0.3362657999952029,0.7074935334545411,1.6937925912114162,21.747648,0.7139903130814246,0.8792553,0.7966228039406147
Bamboo Fiber,6178.88,27.03,95.82,34.32,82.16,1.47,0.7325567482958848,0.4044786323656639,0.6598342931284594,1.3324568384959394,28.204716,0.799597291086648,0.7924902,0.7960437376968732
Hemp Fiber,6807.19,10.04,91.43945454545457,20.86,78.36,1.4,0.8400913607674829,0.3643480613379302,0.7041308153424176,1.6452753045397974,22.722752,0.725484936189592,0.8661526,0.7958187603711784
Bagasse Fiber,3666.67,17.45,90.61,29.94,94.3,1.67,0.8076790961878313,0.3147715865394129,0.6515042960385911,1.2351350416892521,29.962566,0.8226545857386367,0.7688695,0.7957620524861702
Molded Pulp,3241.76,15.52,89.33,32.04,95.57,1.48,0.7929331759656653,0.2908403693397129,0.6369722667302448,1.1513289857826425,31.55202,0.8425097568109301,0.74751174,0.7950107506550683
Molded Pulp,3864.86,19.87,96.39,31.0,92.12,1.19,0.7917727745518808,0.3285706583888057,0.6577611052689447,1.1916368357087253,30.857494,0.8329600978133685,0.75684416,0.7949021303771737
Hemp Fiber,5548.74,9.19,90.24,28.62,80.42,1.64,0.7777028174703358,0.3145107986819325,0.6570439394232146,1.6031312312792878,23.612087,0.7354696297206078,0.8542024,0.7948360097188549
Corrugated Cardboard,5933.63,38.15,70.75,39.62,87.97,0.52,0.7031551401161322,0.4430195361476978,0.5974040017827625,0.6831603896888032,39.841496,0.9534273684985293,0.63612413,0.794775751281125
Bagasse Fiber,3854.28,14.68016393442623,92.7,33.4,85.11,0.82,0.7495360085836908,0.2957066312579662,0.6271011071825694,1.1686601904480416,31.37809,0.8384036808263509,0.74984884,0.7941262617236002
Molded Pulp,3166.58,3.96,95.29,34.72,92.47,0.87,0.7599522873011866,0.2233063129489359,0.6313963583404142,1.0895438952396053,32.85269,0.8571477627304089,0.7300343,0.7935910272373206
Hemp Fiber,6500.54,33.34,95.48,21.55,88.08,1.59,0.8631544155516284,0.4756617185206744,0.7243159942931436,1.7067161016674621,22.021793,0.7109284996100294,0.87557155,0.7932500242743903
Kraft Paper,6642.72,15.12,90.11,40.66,84.48,0.85,0.6834955415299167,0.3370014175929986,0.6361900201052719,0.7762717740347724,38.486156,0.9313675967437597,0.6543361,0.7928518458000109
Hemp Fiber,5171.53,33.23,90.0,24.1,74.99,1.36,0.8013522267104266,0.4413169601943159,0.6569996735345363,1.5911849542914394,24.139929,0.7382999189008439,0.8471097,0.7927047971541268
Mushroom Mycelium,2891.39,8.26396551724138,98.42,16.62,82.79,1.99,0.8908466473112849,0.2853890033208828,0.6826001655201139,2.055180266251108,15.963905,0.6283710337380866,0.9569727,0.7926718759884586
Bagasse Fiber,3443.75,18.66,98.69,30.68,87.92,1.31,0.7820003433476395,0.3145157164531454,0.6486799498572724,1.2383726452708856,30.481306,0.8218875388673553,0.7618991,0.7918933262612229
Molded Pulp,3747.48,15.67,89.74,32.43,90.55,0.99,0.7744270764958343,0.3010290528381094,0.6340799004937293,1.1590515166485367,31.897202,0.8406801495135259,0.74287343,0.7917767898828005
Bamboo Fiber,5748.9,27.97,90.5,22.56,88.62,1.32,0.8558499015400152,0.4301371361075115,0.7000018779849981,1.2084152499014171,31.06972,0.8289849878942366,0.7539925,0.7914887429076133
Bagasse Fiber,4049.05,17.83,94.8,33.03,88.09,0.96,0.7617453850037869,0.316784452677565,0.6416723375558409,1.1601738905278471,31.927462,0.8404142388327319,0.7424668,0.7914405230990746
Hemp Fiber,7122.08,22.13,91.14,28.13,81.75,1.12,0.7860225321888412,0.414409230618856,0.6876393038624959,1.456995624690267,26.71088,0.7700917991711275,0.8125632,0.7913274900472946
Recycled Paperboard,3890.58,24.22,74.93,33.72,80.16,1.0,0.7318584397879322,0.344517712951994,0.5809702905594916,1.058739156523593,33.75944,0.864445962728334,0.7178501,0.7911480259007575
Kraft Paper,5427.43,16.75,90.17,42.36,85.44,0.8,0.6713540823024489,0.316056227123685,0.6130395679014257,0.7556114599044591,39.10585,0.9362623989991219,0.6460092,0.7911358028854862
Recycled Paperboard,4332.5,33.76,78.55098360655738,32.49,80.35,1.17,0.7432969073466296,0.405588139878355,0.600077297122994,1.0603121456307028,33.74144,0.8640732931464207,0.71809196,0.7910826289340502
Recycled Paperboard,3577.56,17.4,89.12,29.59,89.73,1.39,0.7970617495581922,0.3135656773648115,0.639331404640113,1.1689044939312028,31.848057,0.8383458009106426,0.7435338,0.7909397955110922
Corrugated Cardboard,6244.87,19.31,75.45,34.67,91.21,0.85,0.7566140949255238,0.3654035355935472,0.636842281009083,0.8395040779768941,37.70086,0.9163867197834462,0.6648884,0.7906375508707271
Bamboo Fiber,5573.54,10.24,98.08,29.6,83.06,1.35,0.7769633880333248,0.3179260172671933,0.6746927045631448,1.3820658221403088,28.215698,0.7878440252119336,0.7923426,0.7900933142092841
Starch-Based Packaging,1618.3,11.88,99.25,20.09,72.43,1.79,0.8291051981822771,0.2689604060949535,0.630756659970776,1.7972064686292057,20.953478,0.6894896942995611,0.88992673,0.7897082129430086
Hemp Fiber,7964.21,13.67,90.56,26.83,78.52,1.1,0.7878195304216107,0.3916773109767779,0.697935709297919,1.4671249406340638,26.774338,0.7676919809392145,0.8117105,0.7897012289072598
Kraft Paper,6511.64,9.15,77.0,42.46,78.63,0.73,0.6500404670537743,0.2991762134777126,0.5894020253078645,0.6776866924374946,40.708294,0.954724186421136,0.6244768,0.7896004884246488
Recycled Paperboard,7461.37,9.05,73.02,33.93,86.66,0.85,0.7495028477657157,0.3397389250094308,0.6444507390641951,1.1051499427673779,33.18946,0.8534504076875757,0.72550905,0.7894797275979077
Molded Pulp,2543.7,5.14,87.77,35.57,91.06,1.12,0.7482115576874526,0.2143901451304022,0.6006894167225779,1.0810846160172114,33.69981,0.8591519190445552,0.71865135,0.788901636678726
Hemp Fiber,6902.57,13.47,96.05,16.79,82.85,2.46,0.8895245013885382,0.3941573434983015,0.7392266185339276,1.877273975974539,19.684278,0.6705202530285717,0.9069812,0.7887507414053381
Kraft Paper,6395.95,13.45934426229508,92.32,35.5,75.69,0.76,0.7027200883615248,0.3364438504947826,0.6387675654255454,0.9940191358292516,35.361412,0.8797793067067273,0.69632405,0.7880516785666052
Starch-Based Packaging,1661.69,6.472678571428572,98.7,32.24,70.67,1.87,0.716465945468316,0.2114776115146848,0.5807938798586652,1.7682780973995882,21.724186,0.6963433488880425,0.87957054,0.7879569463270322
Recycled Paperboard,3790.37,19.02725806451613,88.22,32.55,80.42,0.65,0.7429767381974249,0.3188075992048154,0.6109839462715512,1.073518040311603,33.976192,0.8609445777425583,0.71493757,0.7879410727267173
Kraft Paper,4166.26,8.85,91.66,44.07,86.65,0.74,0.6598742615501136,0.24532011978928,0.5925064338843068,0.7497533626871495,39.718773,0.9376502882291965,0.63777316,0.7877117221976366
Molded Pulp,1546.28,7.17,93.19,33.28,85.48,0.97,0.7517063468821005,0.2100498740325225,0.5936624841630572,1.1376404491854684,32.93807,0.8457528188179181,0.7288871,0.7873199499820791
Bagasse Fiber,3840.86,11.69,91.11,33.72,90.17,1.71,0.7618884397879323,0.2793041844223554,0.63261870968885,1.1851416844506644,32.29178,0.8344989166728664,0.73757136,0.7860351376767958
Bagasse Fiber,4654.57,19.79,98.56,32.49,88.13,1.27,0.7666369073466295,0.3406468853764174,0.6606691745577485,1.2223456846807037,31.662113,0.8256846158308814,0.74603236,0.7858584865233813
Molded Pulp,3697.58,11.30653846153846,97.97,34.09,96.61,0.85,0.7779390633678364,0.2734577349441408,0.6556217414903021,1.1012388964179356,33.86725,0.854377005336156,0.71640146,0.785389231561358
Mushroom Mycelium,3476.97,14.52,95.23,15.23,76.07,1.99,0.8829688992678615,0.3329954803734567,0.6770728909787862,2.095434041310719,16.357996,0.6188341860548494,0.95167726,0.78525572441895
Starch-Based Packaging,3766.27,6.75,99.06,29.77,75.93,1.93,0.7540712421105782,0.2624343987263832,0.6338635843902236,1.7521987528199552,22.455341,0.7001528365665313,0.86974585,0.7849493435647903
Corrugated Cardboard,3318.92,35.81,79.56041666666668,35.44,82.3,1.12,0.7230802575107296,0.3877888643456782,0.579186682227588,0.9992733245097145,35.76481,0.87853449433645,0.69090354,0.7847190193812073
Corrugated Cardboard,5352.11,28.91,79.56041666666668,38.15,89.23,0.54,0.7199242842716487,0.3874302810958533,0.6141577353022194,0.7614261933606682,39.972393,0.9348847834286973,0.6343652,0.7846249922125481
Corrugated Cardboard,5354.3,32.12,82.61,37.99,89.53,0.8552000000000001,0.7222380686695278,0.4043239493681997,0.6215033193457826,0.828283960485865,38.81712,0.9190449686393984,0.6498889,0.7844669208698396
Hemp Fiber,6167.551694915255,8.62,86.95,22.65,89.58,1.69,0.857934647816208,0.339394292705693,0.7009333390914212,1.7031433381315895,23.406025,0.7117749519390191,0.85697126,0.7843731079122586
Recycled Paperboard,4724.91,20.54,77.79,32.0,83.81,1.32,0.7580066220651349,0.3471733568980124,0.613384420055237,1.1067637255525131,33.935806,0.8530680733451974,0.7154802,0.7842741408710545
Molded Pulp,2737.3730188679247,13.36,93.77,34.3,92.14764705882354,1.31,0.7626964125220903,0.2636917508990032,0.6226758336832796,1.1292100534476972,33.598007,0.8477501321119252,0.72001934,0.783884736313531
Hemp Fiber,7790.55,29.24,93.34,23.51,70.54,1.57,0.7932155566776066,0.4762504421215638,0.6974347135353663,1.6642801888856535,24.17247,0.7209823352043288,0.8466724,0.7838273754688331
Mushroom Mycelium,2275.6799999999994,8.26396551724138,98.18,14.21,73.09,1.84,0.8830417748043422,0.2788055162350006,0.6623452632299178,2.200516087324421,14.812225,0.5939383479479508,0.9724481,0.7831932292641975
Kraft Paper,7105.97,7.8,92.42,41.84,85.06,0.89,0.6748088815955566,0.3060534216194054,0.6446548264497843,0.8288352639961942,39.03097,0.9189143548622444,0.64701533,0.7829648440189518
