Material_Type,Strength_PSI,Weight_Capacity_KG,Biodegradability_%,CO2_Emission_Score_%,Recyclability_%,Cost_per_KG_USD,CO2_Impact_Index,Cost_Efficiency_Index,Material_Suitability_Score
Hemp Fiber,7349.21,25.62,90.66,18.5,70.8,1.28,0.8382646806362029,0.4612734147246008,0.7047510928185825
Recycled Paperboard,6629.53,19.68,82.62,38.73,81.5,1.18,0.6916093158293359,0.36496320510700003,0.6223387529987523
Starch-Based Packaging,1618.3,11.88,99.25,20.09,72.43,1.79,0.8291051981822771,0.26896040609495353,0.630756659970776
Corrugated Cardboard,4677.88,14.94,89.24,43.32,93.54,0.82,0.687171375915173,0.2889385806890376,0.6121759677627933
Aluminum Packaging,14906.820204081634,25.7,3.03,74.19836734693877,90.27,2.84,0.4045154134958705,0.47655894254359005,0.47393216323401627
Recycled PET (rPET),10626.67,20.01,17.99,57.92,89.92,2.59,0.5473035496086847,0.400444819875226,0.4987841698372217
Bagasse Fiber,4470.09,12.36,99.23,17.29,84.51,1.61,0.8900864251451653,0.3371619597752047,0.7094852103794765
Molded Pulp,3496.51,10.66,91.54980769230768,24.89,92.19,0.82,0.8459716662458975,0.28923513138942114,0.6656642462618122
Kraft Paper,4522.9,12.19,79.45,32.92,80.13,0.87,0.7388373617773288,0.2979178551261953,0.6027469449088075
Kraft Paper,4166.26,8.85,91.66,44.07,86.65,0.74,0.6598742615501136,0.24532011978928006,0.5925064338843068
Plywood (Lightweight),8608.65,49.59,53.29,49.95,50.67,2.25,0.4999776849280484,0.5305835148981166,0.490004158829899
Hemp Fiber,6167.551694915255,8.62,86.95,22.65,89.58,1.69,0.857934647816208,0.339394292705693,0.7009333390914212
PHA Bioplastic,8066.16,7.08,85.82,36.35,58.5,3.38,0.6436393587477909,0.3359802813509128,0.6139269309483566
Aluminum Packaging,15796.36,15.34,1.18,69.83,99.61,2.78,0.47113497349154254,0.45281528646325087,0.5191770088454711
Recycled PET (rPET),11838.93,28.81,12.41,49.66,75.91,2.15,0.5782601691492048,0.491321521605559,0.509577921108205
Bamboo Fiber,5180.7,9.2,95.19,32.79,87.48,1.03,0.7620360616006059,0.29646221411536566,0.6596042474586769
Bagasse Fiber,4049.05,17.83,94.8,33.03,88.09,0.96,0.7617453850037869,0.31678445267756505,0.6416723375558409
Corrugated Cardboard,3044.09,38.27,75.25,43.366666666666674,93.71,0.81,0.687269022132458,0.37472510384359803,0.5591178547435506
Hemp Fiber,7964.21,13.67,90.56,26.83,78.52,1.1,0.7878195304216107,0.3916773109767779,0.697935709297919
Plywood (Lightweight),8927.74,15.62,58.92,56.88,61.97,4.46,0.47264314819490016,0.34562635063122715,0.5025569783347149
Recycled Paperboard,5747.58,28.97,75.65,37.21629032258064,84.41,0.96,0.7137146853596761,0.39823143849899306,0.6063265679343512
Cotton Fiber,5208.01,10.01,86.48,41.25,72.89,2.24,0.6435122115627366,0.27981544585366047,0.5813691133870637
Aluminum Packaging,16840.45,27.254200000000004,4.76,71.65,90.04,4.46,0.42634317596566523,0.5307377805386242,0.5164237691135074
Corrugated Cardboard,3683.77,22.6,81.05,51.03,90.81,0.8,0.6108546402423629,0.2882624737142714,0.5457809110154743
Plywood (Lightweight),14247.88,44.88,62.49,60.13,65.0,3.2235849056603785,0.4530156526129765,0.596777109536984,0.585551005371972
Molded Pulp,1768.98,7.78,89.26,21.65,94.53,0.77,0.8816208003029538,0.2471180455708619,0.6513721616002071
PHA Bioplastic,8883.27,10.65,80.61,52.2,57.82,3.98,0.5015463418328705,0.3310655436150505,0.5547213414372205
Bagasse Fiber,3993.1,18.64,91.38,15.04,89.32,0.88,0.9243977682403433,0.3652007339046627,0.7045481914041041
PHA Bioplastic,8823.88,8.21,98.98,44.69,69.01,2.91,0.6014758470083312,0.33630349388693787,0.641405156611661
Kraft Paper,5121.6,20.56,81.79,49.22,77.96,0.42,0.5882980762433728,0.3119635692396721,0.5506036420637545
PHA Bioplastic,8663.12,11.34,85.34,38.12,69.66,2.5,0.661479368846251,0.36561752418880533,0.6377945516375716
Bagasse Fiber,2519.85,7.72,97.74,21.29,87.17,1.45,0.8627218151981823,0.2631681630659453,0.6665806051015811
Recycled Paperboard,5122.34,19.44,79.06,36.03,86.26,0.86,0.7297469275435495,0.3395407611120713,0.611698555892741
Hemp Fiber,4070.29,20.41,91.43945454545457,32.49,71.61,1.77,0.7170769073466295,0.33180195626284614,0.6043565322316359
Recycled Paperboard,4319.22,4.91,79.35,37.21629032258064,81.81,0.88,0.7059146853596762,0.24558571845155613,0.5864940744036174
Corrugated Cardboard,6855.37,39.69,89.6,32.0,84.89,0.93,0.761246622065135,0.4891106124030995,0.6720649911481841
PHA Bioplastic,7820.32,8.54,84.92,47.18,53.62,3.100983606557377,0.5333038273163342,0.31106022044217313,0.5575590866321218
PHA Bioplastic,8693.78,5.23,99.23,55.83,50.85,3.41,0.44856110830598334,0.2902361714829413,0.5613918522029367
Mushroom Mycelium,1262.95,9.91,99.07,13.13,78.67,1.99,0.9093248194900279,0.2691284318240189,0.6637499329477932
Bamboo Fiber,3069.44,21.59,87.01,24.45,81.75736842105263,1.59,0.8185616786032235,0.3375531433086209,0.630785611687834
Kraft Paper,5435.4,23.03,77.83,43.45,79.35,0.66,0.6434526760918959,0.34564050518662476,0.5721476274328853
Recycled Paperboard,6175.41,6.84,71.4,38.91,80.05,1.16,0.6856688083817217,0.2893868796235631,0.5892849910728278
PLA Bioplastic,7832.55,5.3,69.61,58.58,65.59,3.28,0.4684816889674325,0.2659328726571278,0.5078631689765192
Bagasse Fiber,3554.37,7.7,94.95833333333331,22.52,91.29,0.81,0.8642133476394849,0.28124496415756,0.6805566331095343
Bamboo Fiber,5863.22,23.41,94.33,30.03,84.93,0.86,0.7787738424640243,0.39026966161892473,0.6737660436843597
Hemp Fiber,5014.54,4.59,85.65,20.79,79.87603448275863,1.48,0.845257994889831,0.2997221632212454,0.6681744045663147
Recycled Paperboard,7252.54,10.15,75.59,45.61,87.92,0.93,0.650076586720525,0.3115901343210168,0.6046627444810775
Hemp Fiber,5490.62,25.31,85.99,26.18,88.34,1.54,0.8230230295379954,0.40205704751151894,0.6727178357823123
Starch-Based Packaging,2161.05,5.13,95.41,34.64,75.05851851851851,2.17,0.7084247350556816,0.20881404733965045,0.5816005480167173
Recycled PET (rPET),9535.17,24.26,7.0,61.29,72.12,1.75,0.4641257157283515,0.39125254750886806,0.4115753907967321
PHA Bioplastic,8074.5,8.81,80.82,63.01,58.27433333333333,3.06,0.4073905334511487,0.27770834022636687,0.502633924120484
Starch-Based Packaging,3050.0,4.17,99.58,27.05,67.66,1.76,0.7532955768745266,0.24134737642759385,0.6176125873542575
Cotton Fiber,5707.73,5.33,87.77542372881356,51.98,70.67,1.83,0.5420402953799546,0.23903231196423924,0.5466001816932304
Starch-Based Packaging,3433.89,10.2,96.59,18.9,77.26,1.16,0.8541102196415046,0.3007126544644313,0.6676131247205027
Aluminum Packaging,16884.65,27.19,1.94,67.64,93.15652173913044,3.93,0.471125712654907,0.541441977791441,0.5328781993825439
Recycled Paperboard,5016.61,23.81,83.4,41.42,81.72,0.82,0.6685000656399899,0.3461450594279135,0.5892651107103217
Molded Pulp,2523.9,16.77,85.48,30.55,92.48,1.049795918367347,0.7968290431709164,0.2862362590799168,0.6176491955729633
Corrugated Cardboard,3767.75,21.06,81.18,43.366666666666674,86.57,0.52,0.665849022132458,0.3014479263714772,0.567877519710781
Bagasse Fiber,3685.44,14.68016393442623,90.92,20.75,87.18,1.19,0.867523337541025,0.3241692442357184,0.6729764313801114
Kraft Paper,7485.4,14.93,82.59,27.22,87.91,0.73,0.8125434309517798,0.3872964431548652,0.6918928667118627
Kraft Paper,6087.79,21.22,83.41,49.85,83.62,0.56,0.599711300176723,0.33363290319346117,0.5776904692123651
Mushroom Mycelium,2204.8,13.1,95.33,27.35,77.62,2.53,0.7805247311285028,0.2689485348153591,0.6148450943598535
Bamboo Fiber,5573.54,10.24,98.08,29.6,83.06,1.35,0.7769633880333248,0.3179260172671933,0.6746927045631448
Kraft Paper,6093.33,3.93,88.45,43.77,89.03,0.78,0.6696651072961373,0.2605207243830536,0.6217115444516206
PHA Bioplastic,8911.57,9.04,83.61,43.92,48.22,3.25,0.5459096844231254,0.3443036579745587,0.5733203567160837
PLA Bioplastic,8338.44,5.0,64.76,40.45,51.08,3.42,0.5851511335521333,0.3205755956494636,0.5455956458162796
Kraft Paper,6982.78,15.7,79.82,26.24,79.76,0.7,0.7967528603887907,0.38337417762344445,0.666002154776371
Plywood (Lightweight),12165.88,63.19,73.08,41.46,63.49,3.49,0.61345661954052,0.6948771848429889,0.6423093848608232
PHA Bioplastic,5032.42,4.07,93.17,35.45,59.87,2.79,0.655701895985862,0.26041524163704755,0.5879785155673987
PLA Bioplastic,6650.69,11.36,69.56,53.56,67.02,2.25,0.5171291744508961,0.28533556632115387,0.5113964430887378
Bamboo Fiber,4000.23,22.73,97.74,21.26,88.3,1.13,0.8663768997727845,0.3705971923204333,0.6917975620274028
Plywood (Lightweight),9575.77,29.98,60.48,60.44,73.8,2.82,0.4766764453420853,0.4235370659840242,0.5258585482609122
PLA Bioplastic,7439.28,14.27,78.32,54.54316666666667,51.77,2.54,0.46269176386434396,0.31398593206481373,0.5068810824722605
PHA Bioplastic,7560.74,9.85,81.71,48.24,58.27433333333333,3.100983606557377,0.5379005056803837,0.3097545143858602,0.5524210358774819
Hemp Fiber,7586.56,6.59,95.07,30.63,73.16,1.8,0.7381621509719768,0.33804339351548807,0.6760279202414222
PLA Bioplastic,7330.06,14.66,83.57,41.2,57.94,1.81,0.5991040191870739,0.34742311526505754,0.578576838474408
Bamboo Fiber,3098.37,26.67,85.35,25.0,82.02,1.65,0.8144896894723553,0.3627844100513099,0.626350822572233
Hemp Fiber,7029.65,34.89,89.81,22.75,81.59,1.88,0.8330810325675334,0.4914588281616029,0.7036037549628693
Molded Pulp,2156.44,18.75,95.45,32.03,88.66,1.049795918367347,0.7722915374905326,0.2850830350684864,0.6186963311053502
Mushroom Mycelium,3227.98,12.2,95.79,20.38732142857143,64.09,2.51,0.8014580207018429,0.30296718567580344,0.6308616494743213
Kraft Paper,4081.49,6.02,87.57,29.89,87.06,0.45,0.7864009038121687,0.2648771252447735,0.6375279236667075
Cotton Fiber,4617.92,7.78,89.1,46.91,76.38,2.76,0.6039695884877556,0.2419612492766514,0.5630553808886661
Bagasse Fiber,2284.07,9.17,92.92,29.55,91.27,1.27,0.8020351956576621,0.24489211076121975,0.6302117512778584
Starch-Based Packaging,2912.64,7.07,96.25,21.2,84.37,1.75,0.8551170689219894,0.26814684412870016,0.6643991843257111
PLA Bioplastic,7981.95,7.48,83.95,48.14,67.55,2.471724137931034,0.5666111209290583,0.30653168811663634,0.58233557414235
PLA Bioplastic,6548.11,12.08,69.74,56.14,55.52,2.32,0.4598319010350921,0.2804000713652296,0.47740369484757905
Plywood (Lightweight),13079.55,44.488653846153845,65.01,49.81,63.03,4.18,0.5382947462761928,0.5967887040463502,0.6077094067545178
Cotton Fiber,3576.23,5.21,93.85,42.34,69.34116666666667,1.39,0.6232343053521837,0.21890070183722748,0.5597203707545282
Kraft Paper,4170.64,24.51,88.34,25.72,82.54,0.97,0.8096876596818985,0.3719623302894651,0.6471967362245313
Hemp Fiber,5722.35,3.21,91.22,22.53,84.69,1.6,0.8443249861146174,0.3028223642966009,0.6932873854298602
PLA Bioplastic,9735.95,10.07,64.03,46.4,61.32,2.62,0.563296026255996,0.3602803028994407,0.5636464535728128
Starch-Based Packaging,2399.95,11.87,93.36,23.31,69.97,2.47,0.7932727871749559,0.27686182674720317,0.6139112301057598
Molded Pulp,3262.01,13.06,86.3,38.84,85.2,1.049795918367347,0.7017373390557939,0.2614871581534294,0.5847269927814658
Molded Pulp,2115.24,12.92,93.42,36.3,94.66,1.03,0.7525611663721282,0.2435884641293219,0.6098259549166111
Aluminum Packaging,16506.39,42.85,3.84,65.66,97.53,4.56,0.5017417293612725,0.618883686317698,0.5470906177943664
Cotton Fiber,3054.06,7.81,93.82,44.37016393442623,66.91,1.34,0.5980019672545018,0.21635170350946406,0.5390524317691142
Starch-Based Packaging,3963.09,2.5,98.08,16.54,83.06,1.98,0.8923635395102246,0.27811195009793066,0.6992994875823018
Corrugated Cardboard,5263.09,23.3,71.73,53.95,92.11,0.56,0.5889530749810654,0.3169700848630531,0.543032636775789
Corrugated Cardboard,3110.2,22.37,79.82,32.63,85.82,1.02,0.7584698459984851,0.3217363032086048,0.5941669701204804
Mushroom Mycelium,1191.28,5.2,99.53,19.01,81.05,2.93,0.8645082428679625,0.22868003639286977,0.6460579211260493
PLA Bioplastic,8040.81,9.67,65.5,51.84,51.05,3.0,0.48441735672809894,0.30962087889039974,0.4992915791887018
Mushroom Mycelium,2150.9,4.84,99.55,20.38732142857143,72.1,2.88,0.8254880207018429,0.24310208839961628,0.6377897961509912
Kraft Paper,6262.22,16.4,88.59,27.97,83.19,0.57,0.7917563165867204,0.3677676334844414,0.6727513247809759
Recycled Paperboard,5912.9,14.6,81.01,28.64,92.28,1.32,0.8131060944206008,0.34966781152904325,0.6678271285215874
Plywood (Lightweight),8994.69,19.94,60.04,53.083703703703705,55.42,3.97,0.4865378011538425,0.37871913487520864,0.5071088124951213
Molded Pulp,3382.09,10.22,90.15,32.25,95.26,0.9,0.7901475839434486,0.26604575395467456,0.6393642138243444
Bamboo Fiber,5118.850689655172,16.22,89.46,29.7,86.87,1.51,0.7875097727846503,0.338953882241407,0.6576588378594879
PLA Bioplastic,9892.03,14.6,70.0,61.63,67.52,1.56,0.4473214238828578,0.3482486222320491,0.5327332013314988
Cotton Fiber,4094.06,11.23,87.77542372881356,38.08,77.61,2.17,0.6856828149457208,0.2711497212896526,0.5882182926457625
Recycled Paperboard,7492.12,12.64,71.46,47.67,83.28,1.37,0.6179541125978287,0.32407476847737177,0.5830094832678506
Aluminum Packaging,11659.01,13.54,3.19,78.19,93.15652173913044,2.93,0.37790430391973917,0.33736506665336696,0.414793461916177
Starch-Based Packaging,2001.95,5.56,94.80654545454549,18.17,81.59,1.05,0.8735506109568291,0.24932395224771434,0.6533708566092289
Hemp Fiber,5559.77,17.63,93.26,28.6,70.53,2.11,0.7482095405200706,0.35802593055381937,0.6435565301799964
Cotton Fiber,4201.73,12.46,80.18,40.15,67.62,2.89,0.637421979298157,0.27444023385619787,0.5468532143669059
Molded Pulp,3864.86,19.87,96.39,31.0,92.12,1.19,0.7917727745518808,0.3285706583888057,0.6577611052689447
Recycled PET (rPET),10851.26,5.86,11.82,62.2,92.76,2.04,0.5180048169654128,0.32177049817386144,0.47936814104928216
Aluminum Packaging,11746.76,33.97,0.77,76.5,93.05,3.5,0.39251783640494825,0.4480989470617572,0.4174890344546335
Recycled PET (rPET),8143.62,3.59,15.78,60.17,78.53,2.72,0.49325220651350665,0.2595585399358017,0.4247434440667166
Hemp Fiber,5316.39,18.46,86.55,34.52,82.55,1.34,0.7319595177985356,0.3423248830659553,0.6279876388395847
Plywood (Lightweight),11703.21,73.46,64.07,53.14,51.96,3.71,0.47566035849532945,0.708483269983884,0.5498389488329325
Bamboo Fiber,6684.73,16.48,85.27,26.77,76.5,1.7,0.7822896995708153,0.3798998598239729,0.6637879589397885
Starch-Based Packaging,3979.26,5.19,95.01,26.02,68.24,1.52,0.7641368139358746,0.268292024252896,0.6278622158591809
Recycled Paperboard,4334.56,33.59,72.58,33.82,88.54,0.99,0.7561148245392577,0.40140188337537974,0.5994973596738064
PLA Bioplastic,7473.47,8.2,65.44,60.48,62.98819672131148,2.15,0.44388758940654993,0.2686048378303013,0.48157435779411895
Plywood (Lightweight),13286.64,43.12,67.88,51.24,70.13,4.0,0.5469590482201463,0.5904276923913411,0.6254359791401217
Recycled Paperboard,4332.51,14.68,80.91,44.79,83.21,1.15,0.6431922317596566,0.27678967952870326,0.5639415330882547
Cotton Fiber,3197.8,13.67,87.77542372881356,58.59,66.18,1.47,0.47016332744256495,0.21342993544795524,0.4738585630852418
Hemp Fiber,7122.08,22.13,91.14,28.13,81.75,1.12,0.7860225321888412,0.41440923061885604,0.6876393038624959
Recycled Paperboard,6234.75,5.04,72.54,25.49,90.96,1.07,0.83697997475385,0.3152667810314392,0.6651236614340149
PLA Bioplastic,7871.19,7.24,72.68790322580645,40.37,62.98819672131148,2.89,0.6215826159150074,0.3226396277179826,0.5783782498783782
Recycled PET (rPET),10378.05,20.92,19.27,69.99,78.38,2.47,0.4060311890936632,0.36951941683487516,0.4287224454703245
PHA Bioplastic,8484.09,11.0,93.14,44.8,56.46,3.27,0.5628538702347892,0.3433278737786544,0.5989525240547338
Recycled PET (rPET),9644.332592592593,11.9,13.65,55.77,92.95,1.25,0.575391277455188,0.3441146953220097,0.48913830794999297
Cotton Fiber,4126.29,19.96,82.62,59.92,70.66,1.42,0.47185124463519307,0.2613986004821454,0.4817870360306638
Recycled PET (rPET),9309.33,27.48,10.59,70.38,86.47,1.9603636363636363,0.42685508962383234,0.38015319636268935,0.4095552951682744
Mushroom Mycelium,3028.25,13.05,96.18,20.44,74.66,1.67,0.8327025448119161,0.30307939355990243,0.6495010383511381
Mushroom Mycelium,3025.59,1.53,95.0,24.5,72.62,2.88,0.7907077657157284,0.23375833556452624,0.6276424884143598
Mushroom Mycelium,2202.89,10.31,95.21,20.38732142857143,65.12,2.4,0.804548020701843,0.2721942878290805,0.6159424814710186
Cotton Fiber,3880.09,17.09,93.81,35.35,64.59,2.79,0.6707455112345366,0.30366012663809083,0.5812973202393042
Kraft Paper,4787.77,8.52,89.38,25.46,80.76,0.97,0.8066450593284524,0.30339977133076224,0.6562263951542553
Mushroom Mycelium,1835.27,6.7,95.09,20.38732142857143,63.53,2.54,0.799778020701843,0.24613690704026614,0.6068495709329504
PLA Bioplastic,8230.14,7.73,82.11,45.35,66.02,3.01,0.586673986367079,0.3199624399890792,0.5899867891898661
PHA Bioplastic,8205.98,8.63,98.42,56.36,67.86,2.88,0.49490794748800804,0.2962800092568332,0.5842558875198385
Starch-Based Packaging,2105.07,7.04,94.97,25.11618181818182,75.22,1.18,0.7930630892107134,0.2414911076601993,0.6162446907572078
Bamboo Fiber,4199.67,29.92,96.71,21.42,75.46,1.54,0.8264431153749052,0.4111306109654119,0.6665268914211644
Hemp Fiber,4050.24,28.47,96.22,29.03,71.31,1.15,0.7467499949507699,0.38141559281420717,0.6261215175461623
Cotton Fiber,4554.66,4.14,84.79,59.0,62.51,2.75,0.4555305049229992,0.19148958205432293,0.4799258472897767
Bagasse Fiber,4730.5,20.18,95.99,25.741525423728813,81.63,1.8,0.8067674577554889,0.3612443437719174,0.6692511201009833
Recycled Paperboard,4237.19,32.35,77.27,49.31,84.13,1.04,0.6060128225195656,0.35393981737379765,0.5399057690787079
Plywood (Lightweight),12678.77,58.82,59.33,57.47,63.03,3.84,0.4706098182277202,0.6426231622078291,0.5611447413172577
Bamboo Fiber,5404.5,17.38,91.79,33.32,77.67,1.77,0.7279229007826307,0.34163443674713107,0.634623088455757
Recycled Paperboard,6760.08,8.97,82.99,25.91,80.16,0.86,0.8008687907094167,0.34514794242342,0.6709623965300584
Mushroom Mycelium,2213.26,1.02,96.64,20.97,82.14,2.92,0.8504593839939408,0.22334439126338024,0.6507990890526695
Recycled PET (rPET),10808.84,7.55,8.17,60.3,70.6,1.47,0.46831350669022975,0.3343522912654479,0.4342806832309142
Aluminum Packaging,18733.61,10.07,3.51,61.37,94.2,4.85,0.5296588235294117,0.5076074744549043,0.5903834267497466
Bagasse Fiber,2921.37,8.42,95.16,19.33,81.09,1.29,0.861800674072204,0.27996347151605516,0.6628730390527933
Molded Pulp,3697.58,11.30653846153846,97.97,34.09,96.61,0.85,0.7779390633678364,0.27345773494414083,0.6556217414903021
Mushroom Mycelium,2340.94,5.95,98.44,18.61,65.25,2.84,0.8206427038626609,0.2571855582655769,0.6315303865526732
Starch-Based Packaging,1856.46,3.36,99.36,25.19,75.05851851851851,1.53,0.7919263760554291,0.21733730661614709,0.6205956180423913
Recycled Paperboard,4159.32,6.59,72.92,25.26,90.91,1.08,0.8388622898258016,0.28108747329498407,0.6346300833112642
Bamboo Fiber,6924.32,9.61,89.84,28.881,82.79,1.82,0.782506581671295,0.3443051246865032,0.6812208800638712
Recycled PET (rPET),10611.68,7.75,7.91,47.36,73.9,1.35,0.59255331986872,0.3639889682592735,0.4863205642616877
Bagasse Fiber,2375.29,24.63,97.15,34.67,88.05,1.42,0.7471340949255237,0.3130436903319308,0.614259615864208
Molded Pulp,2525.87,4.6,89.87,22.84,97.75,0.78,0.8807657788437263,0.24339526061862268,0.6662064351846513
PLA Bioplastic,7910.621499999999,11.55,73.17,61.44,73.63,3.25,0.46733029285533956,0.29233718373762546,0.5214451117774893
Molded Pulp,3785.69,5.62,93.9,31.52,91.54,0.99,0.785437975258773,0.2526269411827388,0.6484247703686816
Starch-Based Packaging,3908.72,10.68,95.92,23.41,84.43,2.2,0.8357691719262812,0.3015549574720504,0.6708596038332588
Starch-Based Packaging,3623.42,10.62,94.85,30.81,69.65,2.22,0.7260416435243625,0.27669557842948167,0.6067316325169834
Plywood (Lightweight),9891.19,69.05,62.4,62.34,57.74,2.92,0.41170775561726836,0.6253835352943713,0.49525478613214285
PHA Bioplastic,8600.99,7.95,82.86,39.53,57.2,2.13,0.6116403938399393,0.34341273180274934,0.6016108174403415
Starch-Based Packaging,2980.8583333333336,4.15,98.22,26.25,71.47,2.45,0.7717944988639232,0.2418420672325472,0.6244722234231711
Bamboo Fiber,5776.51,28.37,94.96,33.33,77.01,1.23,0.7258545392577631,0.4055642696618864,0.6453525880780522
Bagasse Fiber,4931.95,19.29,95.23,24.83,91.61,0.86,0.8447618353951022,0.3631308633132805,0.6942498436535429
Mushroom Mycelium,2178.35,12.53,95.48,14.05,75.45,2.75,0.8915355592022216,0.2990616417631976,0.6607633509967674
Molded Pulp,1995.52,10.0,88.74,29.59,92.99,0.93,0.8068417495581923,0.2431064578084767,0.6206785301014295
Kraft Paper,7149.81,4.25,80.2,31.09,89.23,0.78,0.7823075208280739,0.3159085352274077,0.6699138130151656
PHA Bioplastic,8876.09,3.89,97.22,58.98,53.47,2.15,0.4285872279727341,0.27916978284441885,0.5534917964997055
PHA Bioplastic,6657.76,6.99,84.01,53.85,62.48,3.74,0.5009466902297399,0.2623615932713622,0.5302591558587014
Plywood (Lightweight),11784.43,32.04,61.36,64.41,61.85,2.46,0.4057469199697046,0.46950928159167016,0.522767647930974
PHA Bioplastic,6429.01,2.71,83.62,35.86,61.17,3.5,0.6559790734662962,0.281146813829133,0.5914552522997426
Bagasse Fiber,4464.02,7.38,92.0,21.66,92.34,0.89,0.8749624387780863,0.3004922110900353,0.6940267710111191
Recycled PET (rPET),7519.67,7.49,5.34,58.91,94.31,1.58,0.5517257586468063,0.26988172147566664,0.4305439669528739
Cotton Fiber,5872.19,8.91,84.51,52.15,72.14,2.46,0.5449481494572077,0.2603269425900431,0.5448961039988883
Starch-Based Packaging,3847.59,4.36,91.13,33.26,72.37,1.39,0.7125530699318354,0.24305274292764312,0.59890458692111
Corrugated Cardboard,5579.03,8.86,79.56041666666668,31.1,89.1,0.69,0.7818291593032063,0.30718237561090783,0.6440970809318066
Starch-Based Packaging,1661.69,6.472678571428572,98.7,32.24,70.67,1.87,0.716465945468316,0.21147761151468483,0.5807938798586652
Kraft Paper,4876.69,13.45934426229508,93.5,26.08,79.42,0.89,0.7971466447866701,0.3289679955334178,0.6608196780115119
PLA Bioplastic,7099.04,13.17,72.55,64.25,61.57,1.83,0.40632070436758394,0.27684446547841796,0.4729191962306108
Recycled Paperboard,4302.61,27.88,79.28,26.63,83.58,0.89,0.8047667609189598,0.38964446677094655,0.6297270767046613
Recycled Paperboard,3524.85,32.4,78.55098360655738,28.59,92.05,1.25,0.8128579020449381,0.391850082706094,0.625783662943787
Recycled PET (rPET),10780.79,11.7,19.69,51.0,73.55,1.75,0.5593397248169654,0.3785143471991643,0.4980316022626582
PHA Bioplastic,7123.5371875,1.61,91.46,42.83,60.1,3.43,0.5911810906336784,0.2722044199841376,0.5893347334432147
Aluminum Packaging,17359.14,44.09,1.79,72.36,93.15652173913044,3.99,0.429419072917467,0.6258659688430208,0.5220253235818904
Molded Pulp,3166.58,3.96,95.29,34.72,92.47,0.87,0.7599522873011866,0.22330631294893594,0.6313963583404142
Recycled PET (rPET),8991.55,13.23,9.72,68.27,80.82109090909093,2.35,0.42855264409813876,0.30593998017107904,0.3996023888517832
Recycled Paperboard,5479.12,4.25,84.71,31.13,94.88,0.8,0.7989040747286039,0.28143425443771586,0.6643122968992292
Starch-Based Packaging,1928.69,6.81,94.33,31.64,82.46,2.08,0.7571376369603634,0.22021380272554492,0.6020164146113155
Bagasse Fiber,2772.25,5.8,94.81,25.87,82.88,1.6,0.8093822368088865,0.24696231698829324,0.6386847641132697
Hemp Fiber,7323.64,22.83,97.27,25.81983333333333,80.42,2.2,0.802445517125305,0.42797453579398675,0.7091114454722658
Hemp Fiber,6691.22,28.34,87.41,25.51,79.87603448275863,1.83,0.803551355152391,0.443972598721021,0.6796964088930324
Molded Pulp,3371.74,7.64,90.61,33.35,91.63,1.01,0.7695378162080282,0.24983852022185815,0.6286999041033479
PHA Bioplastic,5394.59,6.491803278688525,98.67,47.73,52.38,3.09,0.5247239434486242,0.2492711469082623,0.5430957694116129
Bagasse Fiber,2518.74,20.88,91.07,31.86,81.92,1.7,0.7535736834132795,0.30387817785728605,0.6026810160632684
Cotton Fiber,3092.22,18.21,87.26,43.31,64.32,1.48,0.5995997374400404,0.27309201352156504,0.5253415793175379
Plywood (Lightweight),12802.7,62.11,53.44,58.78,61.9,2.7,0.4556444584700833,0.6587201991621876,0.5440432313822098
Mushroom Mycelium,2663.31,13.97,97.42131147540982,11.82,76.91,1.65,0.9156201792476647,0.3220463004059142,0.6834983752139381
Aluminum Packaging,10530.94,28.11,2.620204081632653,79.12,98.26,4.89,0.38499711688967425,0.3864493047715801,0.4029307862165705
Molded Pulp,3213.65,8.13,85.93,24.03,90.2,1.33,0.8476007573844988,0.2726255850106185,0.6493242697541461
PLA Bioplastic,6229.01,9.55,62.82,45.56,73.44,1.76,0.6070783943448623,0.28758416970715067,0.5345301470144572
Plywood (Lightweight),9523.58,62.03,74.07,57.87,69.9,2.51,0.487685357233022,0.5931421269866607,0.5541955400142378
Cotton Fiber,5948.94,19.3,92.47,40.67,67.48,1.67,0.6324071800050493,0.3441160601572611,0.5961718143138142
Bamboo Fiber,6634.3,12.42,96.01,30.86,78.0,1.33,0.7506498359000252,0.3477374416414041,0.6720249280673012
Molded Pulp,2737.3730188679247,13.36,93.77,34.3,92.14764705882354,1.31,0.7626964125220903,0.26369175089900326,0.6226758336832796
Hemp Fiber,6394.13,16.89,85.35,33.47,77.04,2.3,0.7247074779096188,0.3591064543139695,0.6351715832680792
Bagasse Fiber,3338.92,20.32,95.7,18.65,82.51,1.15,0.8720692577631911,0.35123412816190175,0.6758124384279123
Recycled PET (rPET),7707.45,16.566981132075473,11.64,48.85,74.61,2.65,0.5815174526634688,0.3456437204491493,0.4447518656441667
Kraft Paper,7624.31,20.68,82.27,49.52,88.45,0.64,0.6171172304973491,0.3633124735387736,0.6100272735030413
Aluminum Packaging,17045.55,15.1,3.07,82.87,99.63,3.48,0.35597154506437756,0.4443660226816917,0.49289562007271553
Corrugated Cardboard,4949.77,22.03,74.64,49.69,87.96,1.19,0.6141450845746024,0.3147724539811608,0.5518565782329631
Bamboo Fiber,4406.58,29.07,99.56,37.8,76.68,1.89,0.6853669376420095,0.3696799398872584,0.6158361509362076
Recycled PET (rPET),9644.332592592593,16.566981132075473,18.09,59.66,93.89,1.94,0.5438386442817471,0.3582026578027013,0.48517695820372203
